product_name,categories_en,categories_tags,proteins_100g,sugars_100g,fat_100g,fiber_100g,energy_100g,ingredients_text,Primary_Category
"Fruit & Nut Bar - apple, cranberry, and almond","Snacks,Sweet snacks,Bars","en:snacks,en:sweet-snacks,en:bars",7.5,37.5,17.5,5.0,1780.0,"Dried apples, almonds, cashews, tapioca syrup, dried cranberries, sugar, honey, glycerol, sunflower oil, rice flour, sea salt, safflower oil, vanilla extract, tocopherols. Contains almond and cashew ingredients; may contain other tree nuts.",Bars
Fruit and nut bars,"Snacks,Sweet snacks,Bars,Cereal bars,Fruits cereal bars","en:snacks,en:sweet-snacks,en:bars,en:cereal-bars,en:fruits-cereal-bars",7.5,37.5,17.5,5.0,1780.0,"Dried apples, almonds, cashews, tapioca syrup, dried cranberries, sugar, hunny, dried tapioca syrup, glycerol, sunflower oil, and less than 2% of rice flour, sea salt, safflower oil, vanilla extract, and tocopherols",Bars
crispy reds apple chips,Snacks,en:snacks,0.0,71.43,0.0,14.3,1644.0,"ORGANIC APPLES. Manufactured for Bare Foods Co., Purchase, New York 10577 Certified organic by ASCO Â© Bare Foods Co. NON GMO Project VERIFIE nongmoproje CAUTION: Due to the natural way our f this bag may contain occasional seed core fragments.",Chips & Salty Snacks
"Bare, crunchy apple chips, simply cinnamon",Snacks,en:snacks,0.0,70.0,0.0,13.3,1536.0,"Apples, cinnamon.",Bars
Baked Crunchy Crispy Reds Apple Chips,Snacks,en:snacks,0.0,71.4,0.0,14.3,1640.0,Apples.,Chips & Salty Snacks
cinnamon apple chips,"Snacks,Sweet snacks,Confectioneries,Undefined","en:snacks,en:sweet-snacks,en:confectioneries,en:undefined",0.0,71.4,0.0,14.3,1640.0,"APPLES, ORGANIC CINNAMON.",Chips & Salty Snacks
Baked Crunchy Honey Coconut Chips,Snacks,en:snacks,6.67,33.33,36.67,20.0,2371.0,"Coconuts, cane sugar, honey, sea salt",Nuts & Seeds
Baked Crunchy Chocolate Coconut Chips,Snacks,en:snacks,6.67,36.67,30.0,20.0,2231.0,"Coconuts, coconut nectar, unsweetened cocoa",Nuts & Seeds
"Bare, crunchy coconut chips, sweet 'n heat",Snacks,en:snacks,6.67,40.0,33.33,23.3,2372.0,"Coconut, cane sugar, sea salt, garlic powder, spices, onion powder, paprika extract.",Bars
Baked crunchy toasted coconut chips,Snacks,en:snacks,3.33,36.67,36.67,20.0,2372.0,"Coconuts, cane sugar, sea salt",Nuts & Seeds
Baked Crunchy Cinnamon Banana Chips,Snacks,en:snacks,3.33,73.33,0.0,10.0,1674.0,"Bananas, organic cinnamon",Chips & Salty Snacks
Baked Crunchy Simply Banana Chips,Snacks,en:snacks,3.33,73.33,0.0,10.0,1674.0,Bananas,Chips & Salty Snacks
Coffee bean organic coconut chips,Snacks,en:snacks,6.67,26.67,46.67,13.3,2648.0,"Coconuts*, cane sugar*, coffee beans*, sea salt",Nuts & Seeds
Peanut Cookies,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits",10.2,27.2,28.2,,2209.0,,Nuts & Seeds
Sea Salt & Black Pepper Croutons,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Breads,Croutons","en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:breads,en:croutons",10.8,2.7,22.4,4.4,2042.0,Wheatflour (contains Gluten) Â· Water Â· Olive Oil Â· Whole Milk Â· Yeast Sea Salt Â· Cracked Black Pepper Â· Sugar.,Chips & Salty Snacks
Chocolat Saveurs de FÃªtes,"Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates","en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dark-chocolates",7.3,23.6,39.8,12.1,2257.0,"Chocolat noir* 92 % (pÃ¢te de cacao* et beurre de cacao* 74,5 %, sucre de canne* 25,5 %) ; Ã©corces de citron confit* 6 % (Ã©corce de citron*, sirop de maÃ¯s*, sucre de canne*, jus de citron concentrÃ©*, farine de riz*) ; miel de chÃ¢taignier* 2 %, *100 % des ingrÃ©dients d'origine agricole sont issus de |'agriculture biologique.",Chocolate & Candy
"Odwalla, protein bar",Snacks,en:snacks,25.0,30.36,8.04,7.1,1569.0,"Isolated soy protein, raisins, invert cane syrup, brown rice syrup, soy nuts, date paste, soy butter (organic soybeans, soy oil, sea salt), soy protein crisp rice (isolated soy protein, rice flour, malt extract), vegetable glycerin. less than 2% of: dried unsulfured unsweetened coconut rolled oats, barley flakes, baking soda, calcium carbonate, natural flavor, cinnamon, soy lecithin, oat fiber, vitamin c (ascorbic acid), vitamin e (d-alpha tocopherol acetate), beta carotene, lemon bioflavonoids, niacinamide, green tea extract, d-calcium pantothenate, vitamin b6 (pyridoxine hydrochloride), riboflavin, vitamin b1 (thiamin mononitrate), chromium picolinate, biotin and vitamin b12.",Bars
"Odwalla, chewy nut bar, sweet & salty almond, sweet & salty almond",Snacks,en:snacks,15.56,17.78,24.44,13.3,2046.0,"Dry roasted almonds, brown rice syrup, oats, coated crisp rice (brown rice flour, cane sugar), invert cane syrup, dried oat syrup, soy nuts crisp rice (rice flour, rice bran, rosemary extract), cane sugar, less than 2% of: vegetable glycerin, calcium carbonate sunflower oil, salt, soy lecithin, vitamin c (ascorbic acid) natural flavor, vitamin e (tocopherols, d-alpha tocopherol acetate) and beta carotene.",Bars
"Odwalla, protein bar, chocolate chip peanut, chocolate chip peanut",Snacks,en:snacks,12.5,25.0,14.29,7.1,1720.0,"Rolled oats, brown rice syrup, invert cane syrup, peanut butter (peanuts and salt), dry roasted peanuts, semisweet chocolate chips (cane sugar, chocolate liquor, cocoa butter, soy lecithin, ground vanilla beans), date paste, plum puree, peanut flour, oat flour, vegetable glycerin, crisp rice (rice flour, rice bran, rosemary extract). soy nuts, less than 2% of: sunflower oil, calcium carbonate, natural flavors, salt, vitamin c (ascorbic acid), soy lecithin baking soda, vitamin e (d-alpha tocopherol acetate) and beta carotene.",Bars
"Nourishing bar, banana nut",Snacks,en:snacks,7.14,30.36,8.93,8.9,1644.0,"Brown rice syrup, date paste, organic rolled oats, organic diced dried banana (banana, rice flour), walnuts, organic oat flour, banana flakes, oat bran, organic invert cane syrup, vegetable glycerin, crisp rice (rice flour, rice bran, rosemary extract), oat fiber, organic sunflower oil, less than 2% of barley flour, calcium carbonate, soy lecithin, natural flavors, vitamin c (ascorbic acid), salt, baking soda, allspice, vitamin e (d-alpha tocopherol acetate), citric acid, organic malt and beta carotene.",Bars
"Superfood bar, berries gomega",Snacks,en:snacks,8.93,28.57,10.71,8.9,1569.0,"Brown rice syrup, ground golden flax, rolled oats, date paste, dried sweetened cranberries (apple juice concentrate, cranberries, sunflower oil), oat flour,fig paste, vegetable glycerin, boy butter (soybeans, soy oil, sea salt), whole dried sweetened blueberries (apple juice concentrate, whole dried blueberries, sunflower oil), plum puree, oat bran, raisins, natural flavors (contains coconut), less than 2% of: calcium carbonate, soy lecithin, salt, dried strawberries, dried raspberries, baking soda, vitamin e (d-alpha tocopherol acetate), and beta carotene.",Bars
Banana dunk bars for kids,Snacks,en:snacks,5.56,27.78,6.94,8.3,1510.0,"Brown rice syrup, organic rolled oats, organic oat flour, vegetable glycerin, soy coating (organic dried cane syrup, fractionated palm kernel oil, soy flour, soy lecithin, organic vanilla extract), banana flakes, date paste, organic oat fiber, calcium carbonate, less than 2% of: natural flavors, sunflower oil, soy lecithin, salt, baking soda, vitamin e (d-alpha tocopherol acetate) and beta carotene.",Bars
Bar for kids,Snacks,en:snacks,5.56,33.33,11.11,8.3,1628.0,"Organic rolled oats, brown rice syrup, semisweet chocolate chips (organic evaporated cane juice, chocolate liquor, cocoa butter, soy lecithin, ground vanilla beans), soy coating (organic dried cane syrup, fractionated palm kernel oil, cocoa, soy lecithin, natural flavors), date paste, vegetable glycerin, organic oat fiber, organic oat flour, calcium carbonate, less than 2% of: natural flavors, sunflower oil, soy lecithin, salt, baking soda, vitamin e (d-alpha tocopherol acetate) and beta carotene.",Bars
"Poore brothers, kettle cooked potato chips, jalapeno",Snacks,en:snacks,7.14,0.0,28.57,3.6,2243.0,"Potatoes, cottonseed and/or sunflower and/or safflower oil, salt, dextrose, jalapeno pepper, onion powder, autolyzed yeast extract, torula yeast, garlic powder, spice, corn syrup solids, extractives of capsicum and paprika, citric acid, natural flavor.",Chips & Salty Snacks
"Poore brothers, kettle cooked potato chips, salt & vinegar",Snacks,en:snacks,7.14,0.0,28.57,3.6,2243.0,"Potatoes, cottonseed and/or sunflower and/or safflower oil, salt, maltodextrin, sodium diacetate, sugar, citric acid, malic acid, sodium citrate.",Chips & Salty Snacks
